"pair_id","pair_label","source_group","family","subfamily","n_sequences","n_species","n_pair_scorable","pair_scorable_fraction","forward_median_penalty","reverse_median_penalty","pair_median_penalty","pair_p90_penalty","perfect_match_fraction_among_scorable","terminal_3_mismatch_fraction_among_scorable"
"ZBJ_ART","ZBJ-Art","Coleoptera","Coccinellidae","Epilachninae",1,1,1,1,286.75,107.35,394.1,394.1,0,0
"ZBJ_ART","ZBJ-Art","Coleoptera","Coccinellidae","Scymninae",5,5,5,1,261.25,100.4,361.65,455.378,0,0.2
"ZBJ_ART","ZBJ-Art","Coleoptera","Curculionidae","Baridinae",1,1,1,1,0,104.5,104.5,104.5,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Curculionidae","Ceutorhynchinae",6,6,6,1,19.5,115.52,145.62,237.325,0,0.166666666666667
"ZBJ_ART","ZBJ-Art","Coleoptera","Curculionidae","Cryptorhynchinae",4,4,4,1,221.35,114.56,330.585,417.795,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Curculionidae","Dryophthorinae",1,1,1,1,0,211.65,211.65,211.65,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Curculionidae","Entiminae",6,6,6,1,12.8,97.2,130.66,241.77,0,0.5
"ZBJ_ART","ZBJ-Art","Coleoptera","Curculionidae","Molytinae",3,3,3,1,19.62,130.5,181.55,191.95,0,0.333333333333333
"ZBJ_ART","ZBJ-Art","Coleoptera","Curculionidae","Scolytinae",14,14,13,0.928571428571429,53.4,65.175,145.9,320.24,0,0.538461538461538
"ZBJ_ART","ZBJ-Art","Coleoptera","Dermestidae","Megatominae",1,1,1,1,497.7,29.9,527.6,527.6,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Dytiscidae","Agabinae",1,1,1,1,3.1,7.85,10.95,10.95,0,0
"ZBJ_ART","ZBJ-Art","Coleoptera","Dytiscidae","Dytiscinae",2,2,1,0.5,53.3,5.375,64.05,64.05,0,0
"ZBJ_ART","ZBJ-Art","Coleoptera","Dytiscidae","Hydroporinae",9,9,5,0.555555555555556,301.8,91,386.7,531.608,0,0.6
"ZBJ_ART","ZBJ-Art","Coleoptera","Dytiscidae","Lancetinae",2,2,0,0,,10.75,,,,
"ZBJ_ART","ZBJ-Art","Coleoptera","Elateridae","Agrypninae",1,1,1,1,492.45,144.9,637.35,637.35,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Elateridae","Denticollinae",1,1,1,1,450.19,37.05,487.24,487.24,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Elateridae","Elaterinae",1,1,1,1,83.85,92.05,175.9,175.9,0,0
"ZBJ_ART","ZBJ-Art","Coleoptera","Elateridae","Melanotinae",1,1,1,1,92.75,0,92.75,92.75,0,0
"ZBJ_ART","ZBJ-Art","Coleoptera","Hydraenidae","Ochthebiinae",6,6,0,0,,140.975,,,,
"ZBJ_ART","ZBJ-Art","Coleoptera","Hydrophilidae","Sphaeridiinae",1,1,1,1,156.65,176.25,332.9,332.9,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Lampyridae","Lampyrinae",6,6,6,1,16.875,34.585,64.88,156.725,0,0.166666666666667
"ZBJ_ART","ZBJ-Art","Coleoptera","Lampyridae","Luciolinae",4,4,4,1,27.825,48.25,79.3,127.73,0,0.25
"ZBJ_ART","ZBJ-Art","Coleoptera","Lucanidae","Aesalinae",1,1,1,1,280.87,91.85,372.72,372.72,0,0
"ZBJ_ART","ZBJ-Art","Coleoptera","Lucanidae","Lucaninae",4,4,4,1,459.37,120.275,564.015,830.687,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Lycidae","Lycinae",1,1,1,1,77.9,57.15,135.05,135.05,0,0
"ZBJ_ART","ZBJ-Art","Coleoptera","Lymexylidae","Atractocerinae",3,1,3,1,163.35,109.5,272.85,275.69,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Lymexylidae","Lymexylinae",1,1,1,1,22.72,206.35,229.07,229.07,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Lymexylidae","Melittommatinae",2,2,2,1,163.495,136.4,299.895,335.659,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Meloidae","Meloinae",5,5,5,1,179.75,263.87,443.62,569.224,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Melyridae","Malachiinae",3,3,3,1,3.55,6.95,203.25,234.802,0,0.666666666666667
"ZBJ_ART","ZBJ-Art","Coleoptera","Nitidulidae","Carpophilinae",2,2,2,1,81.215,78.175,159.39,187.63,0,0.5
"ZBJ_ART","ZBJ-Art","Coleoptera","Nitidulidae","Cryptarchinae",1,1,1,1,163.19,218.1,381.29,381.29,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Nitidulidae","Meligethinae",4,4,4,1,26.825,107.6,130.725,259.905,0,0.75
"ZBJ_ART","ZBJ-Art","Coleoptera","Nitidulidae","Nitidulinae",2,2,2,1,55.56,197.2,252.76,254.448,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Ptinidae","Ernobiinae",1,1,0,0,,300.3,,,,
"ZBJ_ART","ZBJ-Art","Coleoptera","Scarabaeidae","Cetoniinae",2,2,2,1,342.41,222.35,564.76,582.488,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Scarabaeidae","Dynastinae",4,4,4,1,397.55,160.4,519.15,666.45,0,0.75
"ZBJ_ART","ZBJ-Art","Coleoptera","Scarabaeidae","Melolonthinae",3,3,3,1,502.3,43.5,571.1,639.82,0,0.333333333333333
"ZBJ_ART","ZBJ-Art","Coleoptera","Scarabaeidae","Rutelinae",16,7,16,1,265.55,41.85,307.4,638.9,0,0.3125
"ZBJ_ART","ZBJ-Art","Coleoptera","Scarabaeidae","Scarabaeinae",2,2,2,1,173.375,103.05,276.425,334.805,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Silphidae","Silphinae",1,1,1,1,4.3,133.15,137.45,137.45,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Silvanidae","Brontinae",1,1,1,1,5.6,280.95,286.55,286.55,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Staphylinidae","Omaliinae",1,1,0,0,,18.7,,,,
"ZBJ_ART","ZBJ-Art","Coleoptera","Staphylinidae","Oxytelinae",1,1,1,1,42.02,77.35,119.37,119.37,0,0
"ZBJ_ART","ZBJ-Art","Coleoptera","Staphylinidae","Paederinae",1,1,1,1,100.3,169.8,270.1,270.1,0,1
