"lineage_group","n_centroids","source_records_represented","n_pair_scorable","pair_scorable_fraction","forward_median_penalty","reverse_median_penalty","pair_median_penalty","pair_mean_penalty","pair_p90_penalty","weighted_mean_pair_penalty","perfect_match_fraction_among_scorable","terminal_3_mismatch_fraction_among_scorable"
"Aculeate wasp",345,885,313,0.907246376811594,231.25,20.4,297.15,388.368115015974,807.73,321.365518925519,0,0.527156549520767
"Ant",602,4914,490,0.813953488372093,75.675,17.37,158.75,209.844897959184,417.432,140.077470212766,0,0.275510204081633
"Bee",590,1305,541,0.916949152542373,21.4,5.6,51.69,75.6573382624769,170.05,54.4384367245656,0.0757855822550832,0.0573012939001848
"Other Hymenoptera",4948,17751,4104,0.829426030719483,119.6,5.6,237.15,374.17738791423,783.85,282.145620220349,0.00121832358674464,0.498294346978558
"Sawfly or woodwasp",312,757,295,0.94551282051282,673.1,5.6,678.7,674.249016949153,846.5,672.98976839237,0,0.925423728813559
