"pair_id","pair_label","source_group","family","genus","n_sequences","n_species","n_pair_scorable","pair_scorable_fraction","forward_median_penalty","reverse_median_penalty","pair_median_penalty","pair_p90_penalty","perfect_match_fraction_among_scorable","terminal_3_mismatch_fraction_among_scorable"
"ZBJ_ART","ZBJ-Art","Acari","Sperchontidae","Sperchon",1,1,1,1,515.35,41.85,557.2,557.2,0,0
"ZBJ_ART","ZBJ-Art","Acari","Tetranychidae","Oligonychus",1,1,1,1,131.8,5.1,136.9,136.9,0,1
"ZBJ_ART","ZBJ-Art","Acari","Tetranychidae","Tetranychus",7,4,7,1,376.95,21.4,398.35,412.15,0,1
"ZBJ_ART","ZBJ-Art","Acari","Trombiculidae","Leptotrombidium",2,2,2,1,879.975,75.01,954.985,1058.093,0,1
"ZBJ_ART","ZBJ-Art","Acari","Trombiculidae","Pentidionis",1,1,1,1,1587.1,74,1661.1,1661.1,0,1
"ZBJ_ART","ZBJ-Art","Acari","Trombiculidae","Walchia",1,1,1,1,1737.65,33.15,1770.8,1770.8,0,1
"ZBJ_ART","ZBJ-Art","Acari","Unionicolidae","Neumania",1,1,1,1,360.22,130.5,490.72,490.72,0,0
"ZBJ_ART","ZBJ-Art","Acari","Urodinychidae","Uroobovella",1,1,1,1,476.55,232.25,708.8,708.8,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Attelabidae","Deporaus",1,1,1,1,3.55,18.2,21.75,21.75,0,0
"ZBJ_ART","ZBJ-Art","Coleoptera","Brentidae","Cylas",4,1,4,1,201.1,27.67,228.77,228.77,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Buprestidae","Anthaxia",1,1,1,1,99.92,222.35,322.27,322.27,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Buprestidae","Lamprodila",1,1,1,1,231.85,133.15,365,365,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Cantharidae","Lycocerus",1,1,1,1,19.62,169.8,189.42,189.42,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Cantharidae","Podabrus",1,1,1,1,104.52,132.7,237.22,237.22,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Cantharidae","Themus",1,1,1,1,49.72,181.55,231.27,231.27,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Carabidae","Amara",1,1,1,1,3.1,18.15,21.25,21.25,0,0
"ZBJ_ART","ZBJ-Art","Coleoptera","Carabidae","Bembidion",2,1,2,1,3.1,0,3.1,3.1,0,0
"ZBJ_ART","ZBJ-Art","Coleoptera","Carabidae","Blethisa",1,1,1,1,3.1,0,3.1,3.1,0,0
"ZBJ_ART","ZBJ-Art","Coleoptera","Carabidae","Carabus",1,1,1,1,33.2,126.75,159.95,159.95,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Carabidae","Harpalus",1,1,1,1,125.7,0,125.7,125.7,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Carabidae","Pterostichus",1,1,1,1,0,0,0,0,1,0
"ZBJ_ART","ZBJ-Art","Coleoptera","Carabidae","Rhyzodiastes",1,1,1,1,178.7,186.65,365.35,365.35,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Carabidae","Scarites",1,1,1,1,3.1,169.8,172.9,172.9,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Cerambycidae","Aegolipton",1,1,1,1,68.05,30.1,98.15,98.15,0,0
"ZBJ_ART","ZBJ-Art","Coleoptera","Cerambycidae","Allotraeus",1,1,1,1,34.4,47.8,82.2,82.2,0,0
"ZBJ_ART","ZBJ-Art","Coleoptera","Cerambycidae","Batocera",1,1,1,1,483.65,6.95,490.6,490.6,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Cerambycidae","Callipogon",1,1,1,1,93.85,94.92,188.77,188.77,0,0
"ZBJ_ART","ZBJ-Art","Coleoptera","Cerambycidae","Chlorophorus",2,2,2,1,80.175,114.585,194.76,204.952,0,0.5
"ZBJ_ART","ZBJ-Art","Coleoptera","Cerambycidae","Grammoptera",1,1,1,1,44.4,280.95,325.35,325.35,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Cerambycidae","Mesosa",1,1,1,1,472.75,56.65,529.4,529.4,0,0
"ZBJ_ART","ZBJ-Art","Coleoptera","Cerambycidae","Monochamus",1,1,1,1,99.92,155.65,255.57,255.57,0,0
"ZBJ_ART","ZBJ-Art","Coleoptera","Cerambycidae","Morimospasma",2,2,2,1,164.905,121.95,286.855,287.027,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Cerambycidae","Rhagium",1,1,1,1,55.22,11.75,66.97,66.97,0,0
"ZBJ_ART","ZBJ-Art","Coleoptera","Cerambycidae","Stenocorus",1,1,1,1,0,0,0,0,1,0
"ZBJ_ART","ZBJ-Art","Coleoptera","Cerambycidae","Xylotrechus",1,1,1,1,53.75,148.65,202.4,202.4,0,0
"ZBJ_ART","ZBJ-Art","Coleoptera","Cerambycidae","Xystrocera",1,1,1,1,89.55,169.8,259.35,259.35,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Chrysomelidae","Adiscus",1,1,1,1,93.25,0,93.25,93.25,0,0
"ZBJ_ART","ZBJ-Art","Coleoptera","Chrysomelidae","Agetocera",1,1,1,1,18.45,141.55,160,160,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Chrysomelidae","Altica",1,1,1,1,270.15,112.15,382.3,382.3,0,0
"ZBJ_ART","ZBJ-Art","Coleoptera","Chrysomelidae","Aspidomorpha",1,1,1,1,3.55,11.55,15.1,15.1,0,0
"ZBJ_ART","ZBJ-Art","Coleoptera","Chrysomelidae","Basilepta",1,1,1,1,11.77,100.4,112.17,112.17,0,0
