"pair_id","pair_label","source_group","family","n_sequences","n_species","n_pair_scorable","pair_scorable_fraction","forward_median_penalty","reverse_median_penalty","pair_median_penalty","pair_p90_penalty","perfect_match_fraction_among_scorable","terminal_3_mismatch_fraction_among_scorable"
"ZBJ_ART","ZBJ-Art","Coleoptera","Lucanidae",5,5,5,1,453.8,103.1,559.99,793.166,0,0.8
"ZBJ_ART","ZBJ-Art","Coleoptera","Lycidae",1,1,1,1,77.9,57.15,135.05,135.05,0,0
"ZBJ_ART","ZBJ-Art","Coleoptera","Lymexylidae",6,4,6,1,150.075,109.5,264.02,310.5,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Meloidae",5,5,5,1,179.75,263.87,443.62,569.224,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Melyridae",3,3,3,1,3.55,6.95,203.25,234.802,0,0.666666666666667
"ZBJ_ART","ZBJ-Art","Coleoptera","Nitidulidae",9,9,9,1,66.94,112.15,194.69,327.298,0,0.777777777777778
"ZBJ_ART","ZBJ-Art","Coleoptera","Ptinidae",1,1,0,0,,300.3,,,,
"ZBJ_ART","ZBJ-Art","Coleoptera","Rhagophthalmidae",2,2,2,1,116.4,0,116.4,138.76,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Scarabaeidae",27,18,27,1,266.55,43.5,438.7,644.73,0,0.481481481481481
"ZBJ_ART","ZBJ-Art","Coleoptera","Silphidae",1,1,1,1,4.3,133.15,137.45,137.45,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Silvanidae",1,1,1,1,5.6,280.95,286.55,286.55,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Staphylinidae",5,5,4,0.8,53.26,77.35,119.695,225.076,0,0.25
"ZBJ_ART","ZBJ-Art","Coleoptera","Tenebrionidae",14,12,14,1,89.55,30.1,119.075,250.83,0,0.285714285714286
"ZBJ_ART","ZBJ-Art","Coleoptera","Tetratomidae",2,2,2,1,96.825,188.325,285.15,285.43,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Trogidae",1,1,1,1,457.4,11.75,469.15,469.15,0,0
"ZBJ_ART","ZBJ-Art","Coleoptera","Vesperidae",1,1,1,1,108.3,177.65,285.95,285.95,0,1
"ZBJ_ART","ZBJ-Art","Collembola","Actaletidae",1,1,1,1,215.24,280.95,496.19,496.19,0,1
"ZBJ_ART","ZBJ-Art","Collembola","Bourletiellidae",1,1,1,1,122.4,92.35,214.75,214.75,0,0
"ZBJ_ART","ZBJ-Art","Collembola","Dicyrtomidae",2,2,2,1,205.475,109.025,314.5,366.22,0,1
"ZBJ_ART","ZBJ-Art","Collembola","Entomobryidae",11,10,11,1,78.65,130.3,239.2,558.8,0,0.454545454545455
"ZBJ_ART","ZBJ-Art","Collembola","Hypogastruridae",2,2,2,1,125.9,180.4,306.3,385.74,0,0.5
"ZBJ_ART","ZBJ-Art","Collembola","Isotomidae",13,10,13,1,141.69,142.05,236.1,456.722,0,0.769230769230769
"ZBJ_ART","ZBJ-Art","Collembola","Neanuridae",12,11,12,1,268.75,184.35,456.175,517.317,0,1
"ZBJ_ART","ZBJ-Art","Collembola","Neelidae",1,1,1,1,122.89,18.7,141.59,141.59,0,0
"ZBJ_ART","ZBJ-Art","Collembola","Oncopoduridae",1,1,1,1,118.85,205.25,324.1,324.1,0,1
"ZBJ_ART","ZBJ-Art","Collembola","Onychiuridae",4,4,4,1,422.9,92.65,478.475,725.215,0,0.75
"ZBJ_ART","ZBJ-Art","Collembola","Orchesellidae",3,3,3,1,170.6,203,373.6,485.56,0,0.666666666666667
"ZBJ_ART","ZBJ-Art","Collembola","Paronellidae",4,4,4,1,181.65,127.16,313.51,373.84,0,1
"ZBJ_ART","ZBJ-Art","Collembola","Sminthuridae",2,2,2,1,258.095,104.435,362.53,451.554,0,1
"ZBJ_ART","ZBJ-Art","Collembola","Tomoceridae",2,2,2,1,80.425,106.275,186.7,192.82,0,0
"ZBJ_ART","ZBJ-Art","Collembola","Tullbergiidae",2,2,2,1,676.04,175.125,851.165,1064.065,0,1
"ZBJ_ART","ZBJ-Art","Hymenoptera","Andrenidae",1,1,1,1,609.95,59.05,669,669,0,1
"ZBJ_ART","ZBJ-Art","Hymenoptera","Apidae",67,13,67,1,831.34,62.2,893.54,909.91,0,1
"ZBJ_ART","ZBJ-Art","Hymenoptera","Argidae",1,1,1,1,242.8,5.1,247.9,247.9,0,0
"ZBJ_ART","ZBJ-Art","Hymenoptera","Athaliidae",3,2,3,1,145.1,117.25,262.35,342.23,0,0
"ZBJ_ART","ZBJ-Art","Hymenoptera","Bethylidae",1,1,1,1,111.9,51.3,163.2,163.2,0,1
"ZBJ_ART","ZBJ-Art","Hymenoptera","Blasticotomidae",2,2,2,1,460.435,65.285,525.72,529.16,0,1
"ZBJ_ART","ZBJ-Art","Hymenoptera","Braconidae",9,9,9,1,107.35,174.9,299.55,457.52,0,0.666666666666667
"ZBJ_ART","ZBJ-Art","Hymenoptera","Cephidae",8,8,8,1,78.74,17.775,131.875,209.005,0,0
"ZBJ_ART","ZBJ-Art","Hymenoptera","Ceraphronidae",1,1,1,1,870.44,32.15,902.59,902.59,0,1
"ZBJ_ART","ZBJ-Art","Hymenoptera","Chalcididae",1,1,1,1,39.7,338.22,377.92,377.92,0,1
"ZBJ_ART","ZBJ-Art","Hymenoptera","Cimbicidae",5,5,5,1,3.2,18.15,21.35,101.77,0,0.4
"ZBJ_ART","ZBJ-Art","Hymenoptera","Colletidae",1,1,1,1,517.35,174.9,692.25,692.25,0,1
"ZBJ_ART","ZBJ-Art","Hymenoptera","Crabronidae",1,1,1,1,308.35,66.05,374.4,374.4,0,1
"ZBJ_ART","ZBJ-Art","Hymenoptera","Cynipidae",7,7,7,1,129.75,79.8,227.55,710.9,0,0.428571428571429
"ZBJ_ART","ZBJ-Art","Hymenoptera","Diprionidae",4,4,4,1,262.225,78.15,362.075,434.69,0,0.25
"ZBJ_ART","ZBJ-Art","Hymenoptera","Encyrtidae",7,7,7,1,53.55,212.82,277.05,335.332,0,0.714285714285714
"ZBJ_ART","ZBJ-Art","Hymenoptera","Eulophidae",1,1,1,1,42.15,224.1,266.25,266.25,0,1
"ZBJ_ART","ZBJ-Art","Hymenoptera","Eupelmidae",1,1,1,1,10.15,191.42,201.57,201.57,0,1
