"order","environment_group","query","requested_subset","downloaded_sequences","consensus_clusters","aligned_sequences_including_reference","reference_accession","reference_feature_coordinates","reference_length_bp","clustering_identity","status","note","raw_fasta","cluster_consensus_fasta","reference_aligned_fasta","built_at_utc"
"Isopoda","both","Isopoda[Organism] AND (COI[Gene] OR CO1[Gene] OR COX1[Gene] OR COXI[Gene]) AND 1200:1800[Sequence Length]",50,19,17,18,"NC_001322.1","1474-3009",1536,0.97,"complete",,"data/primerminer/raw/Isopoda/Isopoda_GB.fasta","data/primerminer/clustered/Isopoda/Isopoda_GB_cons_cluster_Majority.fasta","data/primerminer/aligned_reference/Isopoda_COX1_reference_aligned.fasta","2026-07-28 20:23:21 UTC"
"Lepidoptera","terrestrial","Lepidoptera[Organism] AND (COI[Gene] OR CO1[Gene] OR COX1[Gene] OR COXI[Gene]) AND 600:800[Sequence Length]",299,299,295,296,"NC_001322.1","1474-3009",1536,0.97,"complete",,"data/primerminer/raw/Lepidoptera/Lepidoptera_GB.fasta","data/primerminer/clustered/Lepidoptera/Lepidoptera_GB_cons_cluster_Majority.fasta","data/primerminer/aligned_reference/Lepidoptera_COX1_reference_aligned.fasta","2026-07-28 23:50:57 UTC"
"Megaloptera","aquatic","Megaloptera[Organism] AND (COI[Gene] OR CO1[Gene] OR COX1[Gene] OR COXI[Gene]) AND 1200:1800[Sequence Length]",50,6,3,4,"NC_001322.1","1474-3009",1536,0.97,"complete",,"data/primerminer/raw/Megaloptera/Megaloptera_GB.fasta","data/primerminer/clustered/Megaloptera/Megaloptera_GB_cons_cluster_Majority.fasta","data/primerminer/aligned_reference/Megaloptera_COX1_reference_aligned.fasta","2026-07-28 20:23:34 UTC"
"Neuroptera","terrestrial","Neuroptera[Organism] AND (COI[Gene] OR CO1[Gene] OR COX1[Gene] OR COXI[Gene]) AND 1200:1800[Sequence Length]",50,50,11,12,"NC_001322.1","1474-3009",1536,0.97,"complete",,"data/primerminer/raw/Neuroptera/Neuroptera_GB.fasta","data/primerminer/clustered/Neuroptera/Neuroptera_GB_cons_cluster_Majority.fasta","data/primerminer/aligned_reference/Neuroptera_COX1_reference_aligned.fasta","2026-07-28 20:23:38 UTC"
"Odonata","aquatic","Odonata[Organism] AND (COI[Gene] OR CO1[Gene] OR COX1[Gene] OR COXI[Gene]) AND 1200:1800[Sequence Length]",50,50,25,26,"NC_001322.1","1474-3009",1536,0.97,"complete",,"data/primerminer/raw/Odonata/Odonata_GB.fasta","data/primerminer/clustered/Odonata/Odonata_GB_cons_cluster_Majority.fasta","data/primerminer/aligned_reference/Odonata_COX1_reference_aligned.fasta","2026-07-28 20:23:43 UTC"
"Orthoptera","terrestrial","Orthoptera[Organism] AND (COI[Gene] OR CO1[Gene] OR COX1[Gene] OR COXI[Gene]) AND 1200:1800[Sequence Length]",50,50,24,25,"NC_001322.1","1474-3009",1536,0.97,"complete",,"data/primerminer/raw/Orthoptera/Orthoptera_GB.fasta","data/primerminer/clustered/Orthoptera/Orthoptera_GB_cons_cluster_Majority.fasta","data/primerminer/aligned_reference/Orthoptera_COX1_reference_aligned.fasta","2026-07-28 20:23:49 UTC"
"Plecoptera","aquatic","Plecoptera[Organism] AND (COI[Gene] OR CO1[Gene] OR COX1[Gene] OR COXI[Gene]) AND 1200:1800[Sequence Length]",50,50,9,10,"NC_001322.1","1474-3009",1536,0.97,"complete",,"data/primerminer/raw/Plecoptera/Plecoptera_GB.fasta","data/primerminer/clustered/Plecoptera/Plecoptera_GB_cons_cluster_Majority.fasta","data/primerminer/aligned_reference/Plecoptera_COX1_reference_aligned.fasta","2026-07-28 20:23:53 UTC"
"Psocodea","terrestrial","Psocodea[Organism] AND (COI[Gene] OR CO1[Gene] OR COX1[Gene] OR COXI[Gene]) AND 1200:1800[Sequence Length]",50,38,15,16,"NC_001322.1","1474-3009",1536,0.97,"complete",,"data/primerminer/raw/Psocodea/Psocodea_GB.fasta","data/primerminer/clustered/Psocodea/Psocodea_GB_cons_cluster_Majority.fasta","data/primerminer/aligned_reference/Psocodea_COX1_reference_aligned.fasta","2026-07-28 20:23:59 UTC"
"Siphonaptera","terrestrial","Siphonaptera[Organism] AND (COI[Gene] OR CO1[Gene] OR COX1[Gene] OR COXI[Gene]) AND 1200:1800[Sequence Length]",50,50,49,50,"NC_001322.1","1474-3009",1536,0.97,"complete",,"data/primerminer/raw/Siphonaptera/Siphonaptera_GB.fasta","data/primerminer/clustered/Siphonaptera/Siphonaptera_GB_cons_cluster_Majority.fasta","data/primerminer/aligned_reference/Siphonaptera_COX1_reference_aligned.fasta","2026-07-28 20:24:06 UTC"
"Thysanoptera","terrestrial","Thysanoptera[Organism] AND (COI[Gene] OR CO1[Gene] OR COX1[Gene] OR COXI[Gene]) AND 1200:1800[Sequence Length]",50,50,11,12,"NC_001322.1","1474-3009",1536,0.97,"complete",,"data/primerminer/raw/Thysanoptera/Thysanoptera_GB.fasta","data/primerminer/clustered/Thysanoptera/Thysanoptera_GB_cons_cluster_Majority.fasta","data/primerminer/aligned_reference/Thysanoptera_COX1_reference_aligned.fasta","2026-07-28 20:24:10 UTC"
"Trichoptera","aquatic","Trichoptera[Organism] AND (COI[Gene] OR CO1[Gene] OR COX1[Gene] OR COXI[Gene]) AND 1200:1800[Sequence Length]",50,25,10,11,"NC_001322.1","1474-3009",1536,0.97,"complete",,"data/primerminer/raw/Trichoptera/Trichoptera_GB.fasta","data/primerminer/clustered/Trichoptera/Trichoptera_GB_cons_cluster_Majority.fasta","data/primerminer/aligned_reference/Trichoptera_COX1_reference_aligned.fasta","2026-07-28 20:24:15 UTC"
